id,cat_id,style_name,last_mod
133,11,Wood- and Barrel-Aged Beer,6/15/2010 19:48
134,11,Wood- and Barrel-Aged Pale to Amber Beer,6/15/2010 19:48
135,11,Wood- and Barrel-Aged Dark Beer,6/15/2010 19:49
136,11,Wood- and Barrel-Aged Strong Beer,6/15/2010 19:49
137,11,Wood- and Barrel-Aged Sour Beer,6/15/2010 19:49
138,11,Aged Beer,6/15/2010 19:49
139,11,Other Strong Ale or Lager,6/15/2010 19:49
140,11,Non-Alcoholic Beer,6/15/2010 19:49
141,11,Winter Warmer,7/11/2010 16:43
142,11,Other,7/12/2010 16:43
